ID,?��,distance,angle,x,y
5,-3,0.046,278.7060212,120.2952303,23.60567519
5,-3,0.047,282.4805329,120.294245,23.6058453
5,-3,0.048,286.0303004,120.2932728,23.60607882
5,-3,0.049,287.3732606,120.2923151,23.6063664
5,-3,0.05,291.7387773,120.2913761,23.60670963
5,-3,0.051,295.426396,120.2904635,23.60711809
5,-3,0.052,300.1884884,120.2895824,23.60759059
5,-3,0.053,304.0723884,120.2887341,23.60811956
5,-3,0.054,307.5227747,120.2879223,23.60870285
5,-3,0.055,311.8019791,120.2871595,23.60934917
5,-3,0.056,316.0593064,120.2864459,23.6100494
5,-3,0.057,320.9493614,120.2857844,23.61079905
5,-3,0.058,323.9268614,120.2851741,23.61159082
5,-3,0.059,327.0633743,120.2846165,23.61242079
5,-3,0.06,330.4146254,120.2841045,23.61327957
5,-3,0.061,333.2652334,120.2836338,23.6141617
5,-3,0.062,335.6032695,120.2832053,23.61506511
5,-3,0.063,337.7384623,120.2828136,23.61598512
5,-3,0.064,340.1434691,120.2824587,23.61691991
5,-3,0.065,342.2134363,120.2821395,23.61786752
5,-3,0.066,345.4442484,120.2818622,23.61882818
5,-3,0.067,347.7004054,120.2816227,23.61979899
5,-3,0.068,349.5516524,120.2814346,23.62078093
5,-3,0.069,351.3857029,120.2812683,23.62176693
5,-3,0.07,352.8975171,120.2811333,23.62275773
5,-3,0.071,354.0733591,120.281023,23.62375161
5,-3,0.072,355.1577886,120.2809311,23.62474736
5,-3,0.073,355.7648865,120.2808508,23.62574413
5,-3,0.074,356.398206,120.2807908,23.62674227
5,-3,0.075,357.0425896,120.2807402,23.62774096
5,-3,0.076,357.9130797,120.2806978,23.62874005
5,-3,0.077,358.9483552,120.28067,23.62973965
5,-3,0.078,359.9537598,120.2806585,23.63073957
5,-3,0.079,1.082109053,120.2806671,23.6317395
5,-3,0.08,1.902139307,120.2806963,23.63273907
5,-3,0.081,3.691640849,120.2807497,23.63373759
5,-3,0.082,6.072445626,120.2808348,23.6347338
5,-3,0.083,7.849269272,120.2809532,23.6357267
5,-3,0.084,10.08777374,120.2811091,23.63671438
5,-3,0.085,13.05486247,120.2813215,23.63769139
5,-3,0.086,15.83748363,120.28157,23.63865977
5,-3,0.087,21.03719582,120.281886,23.63960837
5,-3,0.088,23.2950657,120.2822551,23.6405377
5,-3,0.089,24.48944714,120.2826513,23.64145583
5,-3,0.09,24.67261828,120.2830669,23.64236537
5,-3,0.091,24.09656359,120.2834821,23.6432751
5,-3,0.092,22.72857949,120.2838862,23.64418979
5,-3,0.093,21.39125258,120.2842662,23.64511475
5,-3,0.094,19.09055841,120.2846019,23.64605639
5,-3,0.095,17.01966091,120.2849285,23.64700139
5,-3,0.096,14.36650976,120.2852004,23.64796357
5,-3,0.097,11.41718776,120.2854206,23.64893885
5,-3,0.098,5.365782888,120.2855673,23.64992709
5,-3,0.099,5.183370347,120.2856736,23.65092134
5,-3,0.1,0.97115678,120.2857356,23.65191902
5,-3,0.101,356.7470685,120.2857332,23.65291862
5,-3,0.102,355.0618611,120.2857318,23.65391544
5,-3,0.103,351.8391232,120.2855829,23.65490383
5,-3,0.104,347.3257874,120.2854034,23.65588744
5,-3,0.105,338.420553,120.2851586,23.65685606
5,-3,0.106,341.3327699,120.2848312,23.6578003
5,-3,0.107,353.3725147,120.2845175,23.65874471
5,-3,0.108,359.6675699,120.2841555,23.65963423
