ID,下陷??Shape_Leng,angle,x,y,
2,-4,0.107,203.9545697,120.2205222,23.38686201
2,-4,0.108,204.7820979,120.2201117,23.38595018
2,-4,0.109,208.7602087,120.2196461,23.38506522
2,-4,0.11,210.7741874,120.2191494,23.38419732
2,-4,0.111,213.1265884,120.2186129,23.38335349
2,-4,0.112,215.9753365,120.2180456,23.3825301
2,-4,0.113,218.2741897,120.2174435,23.38173184
2,-4,0.114,220.6149287,120.2168091,23.38095894
2,-4,0.115,224.0144785,120.2161436,23.38021287
2,-4,0.116,226.708641,120.2154377,23.37950479
2,-4,0.117,230.0191199,120.2146927,23.37883799
2,-4,0.118,229.5534451,120.2139253,23.37819683
2,-4,0.119,235.0003754,120.2131209,23.3776035
2,-4,0.12,239.3947367,120.2122849,23.37705542
2,-4,0.121,240.9275968,120.2114181,23.37655693
2,-4,0.122,244.9938272,120.2105261,23.37610552
2,-4,0.123,247.1487351,120.2096145,23.37569479
2,-4,0.124,255.8201904,120.2086754,23.37535631
2,-4,0.125,254.0510304,120.207717,23.37507214
2,-4,0.126,258.0334634,120.2067472,23.37482955
9,-3,0,263.8703265,120.267422,23.44358673
9,-3,0.001,271.9711348,120.2664236,23.44356027
9,-3,0.002,278.7370023,120.2654304,23.44366963
9,-3,0.003,288.613155,120.2644657,23.44392684
9,-3,0.004,297.7790082,120.263551,23.44432742
9,-3,0.005,307.1952209,120.2627074,23.4448617
9,-3,0.006,316.4176938,120.2619646,23.4455289
9,-3,0.007,326.8011228,120.2613575,23.44632086
9,-3,0.008,339.3281921,120.2608948,23.44720592
9,-3,0.009,350.1804921,120.2606064,23.44816165
9,-3,0.01,0.060009526,120.2605061,23.44915469
9,-3,0.011,9.224113055,120.2605875,23.45014962
9,-3,0.012,17.64460777,120.2608328,23.45111768
9,-3,0.013,25.70322449,120.2612216,23.45203793
9,-3,0.014,33.26932673,120.2617328,23.45289643
9,-3,0.015,42.7396673,120.2623428,23.45368781
9,-3,0.016,48.2436249,120.2630509,23.45439261
9,-3,0.017,59.39180521,120.2638498,23.45499155
9,-3,0.018,70.54540168,120.2647353,23.45545353
9,-3,0.019,76.39826698,120.2656925,23.45573842
9,-3,0.02,92.35083881,120.2666866,23.45583517
9,-3,0.021,101.4669302,120.2676819,23.45574974
9,-3,0.022,109.7809405,120.2686525,23.45551202
9,-3,0.023,113.4081522,120.2695821,23.45514481
9,-3,0.024,121.9062941,120.2704572,23.45466318
9,-3,0.025,130.4123421,120.2712534,23.45406014
9,-3,0.026,140.5310808,120.2719485,23.45334341
9,-3,0.027,151.373814,120.2725125,23.45251983
9,-3,0.028,162.8685087,120.2729128,23.45160571
9,-3,0.029,173.0482471,120.2731539,23.45063733
9,-3,0.03,181.212355,120.2732029,23.44963992
9,-3,0.031,189.6086708,120.273091,23.44864752
9,-3,0.032,198.2231885,120.2728217,23.44768555
9,-3,0.033,207.3453625,120.2724021,23.44677884
9,-3,0.034,215.1649936,120.2718533,23.44594342
9,-3,0.035,226.5134832,120.2711754,23.44521055
9,-3,0.036,236.1133157,120.2703807,23.44460554
9,-3,0.037,246.0036057,120.269506,23.44412386
9,-3,0.038,255.9184941,120.2685653,23.44378938
9,-3,0.039,263.7895183,120.2675838,23.44360433
10,-3,0,237.3760059,120.1667844,23.47513664
10,-3,0.001,259.2159959,120.1658417,23.47482421
10,-3,0.002,280.3288362,120.1648501,23.47488342
10,-3,0.003,301.9141279,120.1639393,23.47528081
10,-3,0.004,319.01663,120.1631998,23.47594548
10,-3,0.005,337.167753,120.1627122,23.47681276
10,-3,0.006,355.8114848,120.1625294,23.47778999
10,-3,0.007,24.22072316,120.1626935,23.47876917
10,-3,0.008,38.63849532,120.163235,23.47960264
10,-3,0.009,69.71137947,120.1640656,23.48014011
10,-3,0.01,89.12224561,120.1650435,23.48031165
10,-3,0.011,109.8901225,120.166021,23.48014843
10,-3,0.012,128.4606383,120.1668856,23.47965753
10,-3,0.013,144.8548816,120.1675535,23.47892181
10,-3,0.014,164.4665823,120.1679553,23.47801401
10,-3,0.015,183.2426303,120.1680295,23.47702358
10,-3,0.016,204.5180988,120.1677257,23.47607806
10,-3,0.017,234.602382,120.1670666,23.47533719
11,-3,0,247.8459842,120.3248199,23.50885961
11,-3,0.001,259.8724952,120.3238602,23.50858832
11,-3,0.002,272.1590047,120.3228641,23.50854238
11,-3,0.003,286.5581645,120.321884,23.50872072
11,-3,0.004,306.5620951,120.3209896,23.50914908
11,-3,0.005,330.4181061,120.320322,23.5098816
11,-3,0.006,353.6503616,120.3200023,23.51081955
11,-3,0.007,11.07754274,120.3200456,23.51181227
11,-3,0.008,25.57197129,120.3203787,23.51275097
11,-3,0.009,37.24869164,120.3209205,23.51358883
11,-3,0.01,52.47957538,120.3216136,23.51430534
11,-3,0.011,61.23908566,120.322442,23.51486227
11,-3,0.012,72.70461373,120.3233556,23.51526294
11,-3,0.013,85.09047075,120.3243317,23.51546667
11,-3,0.014,100.0898938,120.3253268,23.51543223
11,-3,0.015,119.1329857,120.3262694,23.5151171
11,-3,0.016,134.2749416,120.3270655,23.5145216
11,-3,0.017,161.2848413,120.327588,23.51367799
